id,question,reference_answer,actual_label,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
1,Which theory states that 'people tend to rise to their own level of incompetence'?,PETER PRINCIPLE,1,Theory X,Theory X,Plateau effect,Yerkes-Dodson Law,Yerkes-Dodson Law,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
2,Which writer was the father of Christopher Robin?,A A MILNE,1,Christopher Robin Milne,A.A. Milne,Alan Alexander Milne,Alan Alexander Milne,Christopher Robin Milne,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,3
3,The Dance Class and Absinthe are famous works by which painter?,EDGAR DEGAS,1,Edouard Manet,Van Gogh,Edgar Degas,Van Gogh,Pieter Bruegel the Elder,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
4,Which American actor also performs with the band Dogstar?,Keanu Reeves,1,Will By The Dogstar,Sam Elliott,Will Ferrell,Will Forte,Tom Waits,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
5,In which city was the British version of Concorde assembled,Bristol,1,Salisbury,Broughton,Bristol,Gravesend,Teterton,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
6,What is taphophobia the fear of?,Graves,1,Taphophobia,Taphophobia is the fear of death.,Taphophobia is the fear of corpses.,Taphophobia,Taphophobia is the fear of burial.,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
7,"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?",John L. Sullivan,0,John L. Sullivan,Jack Johnson,John L. Sullivan Sullivan,John L. Sullivan,John L. Sullivan,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
8,"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?",Robert Gray,1,John Kendrick,Thomas Truxtun,John Kendrick,James Cook,James Colnett,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
9,"Situated in Piccadilly, what is the name of London’s oldest bookshop?",Hatchards,1,Bodley's,Waterstones,Bodley's Bookshop,Furness Abbey,Biblo & Tropic,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
10,What childhood stories feature a young boy named Mowgli?,The Jungle Book,0,The Jungle Book,The Jungle Book,Jungle Book,Jungle Book,Jungle Book,0.0,0.0,1.0,0.0,1,1.0,2
11,What potent greenhouse gas is produced by the digestive systems of cattle?,Methane,0,Methane,Methane,Methane,Methane,Methane,0.0,0.0,1.0,0.0,1,1.0,1
12,"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?""",Tommy Dorsey,1,Count Basie,Duke Ellington,Louis Jordan,Guy Lombardo,Louis Jordan,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
13,Which male Russian won the 100/200 metre double at the 1972 Olympics?,VALERIY BORZOV,1,Vyacheslav Tomilov,Sergei Bubka,Sergei Bubka,Sergey Bubka,Sergei Bubka,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
14,Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease?,Malaria,0,Malaria,malaria,malaria,malaria,malaria,0.0,0.0,1.0,0.0,1,1.0,1
15,Which painter married Hortense Fiquet and used her as the subject of many of his paintings?,PAUL CEZANNE,1,Jean-Honoré Fragonard,Watteau,Jean-Honoré Fragonard,Boucher,Watteau,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
16,"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ?",ETHIOPIA,0,Ethiopia,Eritrea,Ethiopia,Ethiopia,Ethiopia,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
17,Which angel in Charlie's Angels was played by Jaclyn Smith,Kelly Garrett,1,Trudy Adams,Mel,Tori Spelling,Angel,Sierra Mason,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
18,"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)?",Democratic Republic of the Congo,0,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,0.0,0.0,1.0,0.0,1,1.0,1
19,"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?",The Battle of Plassey,1,Battle of Plassey,Battle of Plassey,Battle of Plassey,Battle of Plassey,Battle of Plassey,0.0,0.0,1.0,0.0,1,1.0,1
20,"In woodworking joints, what do you insert into your mortise?",Tenon,1,screw,screw,screw,screw,screw,0.0,0.0,1.0,0.0,1,1.0,1
21,"""What type of car was """"KITT"""" from the """"Knightrider"""" series?""",Pontiac Trans-Am,1,Convertible,Sports car,Convertible,Cybercar,Sports car,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
22,In which year did Queen Elizabeth the Queen Mother die?,2002,0,2002,2002,2002,2002,2002,0.0,0.0,1.0,0.0,1,1.0,1
23,Name the two tiles with the highest score in Scrabble?,Q and Z,1,QZ,QZ,QUIT,QUIT,QUZ,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
24,What was Orson Welles’ first film?,CITIZEN KANE,0,Citizen Kane,The Man Who Knows Too Much,The Third Man,Citizen Kane,The Third Man,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
25,"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?""",APRIL,0,April,April,April,March,April,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
26,What are Ponte Vecchio and Pont Neuf?,Bridges,0,Bridges,Bridges,Bridges,Bridges,Bridges,0.0,0.0,1.0,0.0,1,1.0,1
27,Which year was renowned as ‘The Year of Revolutions’?,1848,1,1989,1989,1989,1989,1989,0.0,0.0,1.0,0.0,1,1.0,1
28,Who played the mad legless Captain Rum in the second series of Blackadder?,Tom Baker,1,Rowan Atkinson,Neil Morrissey,Stephen Fry,Tony Robinson,Rowan Atkinson,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
29,"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ?",LES MISERABLES,1,The King And I,Phantom of the Opera,Miss Saigon,Matilda The Musical,Matilda the Musical,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
30,"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?""",FLEA,0,Flea,Rat,flea,Rat Rats,Flea,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
31,Who was born Vera Margaret Welsh on 20th March 1917?,Vera Lynne,1,Vera Parker,Vera Parker,Vera Lynn,Vera Marjorie Welsh,Vera Brittain,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
32,"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume?",Beaver,1,Castor (or castoreum) is an oily substance secreted by the beaver.,Castoreum,Castor (or castoreum) is an oily substance secreted by the beaver.,Castor (or castoreum) is an oily substance secreted by the beaver.,Castor (or castoreum) is an oily substance secreted by the beaver. Historically used in medicine and perfume.,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
33,Who did Jai McDowall beat in this years final of Britain's Got Talent?,Ronan Parke,1,Anne-Marie,Sophie Mullineux,Cheryl Cole,Sophie Christian,Sophie Christianson,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
34,The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011?,Notting Hill Carnival,0,Notting Hill Carnival,Notting Hill Carnival,Notting Hill Carnival,Notting Hill Carnival,Notting Hill Carnival,0.0,0.0,1.0,0.0,1,1.0,1
