id,question,reference_answer,generated_answer,non_hallucination_probability,hallucination_probability,actual_label,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
1,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis,Sinclair Lewis,0.272080829837974,0.727919170162026,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
2,Where in England was Dame Judi Dench born?,York,Yorkshire,0.027187455681351502,0.9728125443186485,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
3,In which decade did Billboard magazine first publish and American hit chart?,30s,1950s,0.37248264148314647,0.6275173585168535,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
4,From which country did Angola achieve independence in 1975?,Portugal,Angola,0.24028378599337474,0.7597162140066253,1,0.0,0.0,1.0,0.0,1,1.0,1
5,Which city does David Soul come from?,Chicago,Detroit,0.0004159646725586663,0.9995840353274413,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
6,Who won Super Bowl XX?,Chicago Bears,Dallas Cowboys,0.08352888110398815,0.9164711188960118,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
7,Which was the first European country to abolish capital punishment?,Norway,France,0.45368954591003163,0.5463104540899684,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
8,In which country did he widespread use of ISDN begin in 1988?,Japan,Japan,0.1250101689546811,0.8749898310453189,0,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
9,What is Bruce Willis' real first name?,Walter,David,0.41692750887228835,0.5830724911277116,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
10,Which William wrote the novel Lord Of The Flies?,Golding,William Golding,0.42817393959675487,0.5718260604032451,1,0.0,0.0,1.0,0.0,1,1.0,1
