id,question,reference_answer
1,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis
2,Where in England was Dame Judi Dench born?,York
3,In which decade did Billboard magazine first publish and American hit chart?,30s
4,From which country did Angola achieve independence in 1975?,Portugal
5,Which city does David Soul come from?,Chicago
6,Who won Super Bowl XX?,Chicago Bears
7,Which was the first European country to abolish capital punishment?,Norway
8,In which country did he widespread use of ISDN begin in 1988?,Japan
9,What is Bruce Willis' real first name?,Walter
10,Which William wrote the novel Lord Of The Flies?,Golding
11,Which innovation for the car was developed by Prince Henry of Prussia in 1911?,Windshield wipers
12,How is musician William Lee Conley better known?,Big Bill Broonzy
13,How is Joan Molinsky better known?,Joan Rivers
14,In which branch of the arts is Patricia Neary famous?,Ballet
15,Which country is Europe's largest silk producer?,Italy
16,The VS-300 was a type of what?,Helicopter
17,At which university did Joseph Goebbels become a doctor of philosophy?,Heidelberg
18,Which prince is Queen Elizabeth II's youngest son?,Edward
19,When did the founder of Jehovah's Witnesses say the world would end?,1914
20,Who found the remains of the Titanic?,Robert Ballard
21,Who was the only Spice Girl not to have a middle name?,Posh Spice
22,What are the international registration letters of a vehicle from Algeria?,DZ
23,How did Jock die in Dallas?,Helicopter accident
24,What star sign is Michael Caine?,Pisces
25,Who wrote the novel Evening Class?,Maeve Binchy
26,Which country does the airline Air Pacific come from?,Fiji
27,In which branch of the arts does Allegra Kent work?,Ballet
28,"Who had a 70s No 1 hit with Billy, Don't Be A Hero?",Bo Donaldson & The Heywoods
29,Banting and Best pioneered the use of what?,Insulin
30,Who directed the movie La Dolce Vita?,Federico Fellini
31,Which country does the airline LACSA come from?,Costa Rica
32,Who directed 2001: A Space Odyssey?,Stanley Kubrick
33,Which is the largest of the Japanese Volcano Islands?,Iwo Jima
34,Ezzard Charles was a world champion in which sport?,Boxing
35,Who was the first woman to make a solo flight across the Atlantic?,Amelia Earhart
36,Which port lies between Puget Sound and Lake Washington?,Seattle
37,In which city were Rotary Clubs set up in 1905?,Chicago
38,Who became US Vice President when Spiro Agnew resigned?,Gerald Ford
39,In which decade of the 20th century was Billy Crystal born?,1940s
40,Which George invented the Kodak roll-film camera?,Eastman
41,Which series had the characters Felix Unger and Oscar Madison?,The Odd Couple
42,Who along with Philips developed the CD in the late 70s?,Sony
43,Where is the multinational Nestle based?,Switzerland
44,Do You Know Where You're Going To? was the theme from which film?,Mahogany
45,19969 was the Chinese year of which creature?,Rat
46,In the 90s how many points have been awarded for finishing second in a Grand Prix?,6
47,Stapleton international airport is in which US state?,Colorado
48,What was Kevin Kline's first movie?,Sophie's Choice
49,Which actor had a Doberman Pinscher called Kirk?,William Shatner
50,What day of the week was the Wall Street Crash?,Thursday
51,The US signed a treaty with which country to allow the construction of the Panama Canal?,Columbia
52,What was Prince's last No 1 of the 80s?,Batdance
53,Man In The Mirror first featured on which Michel Jackson album?,Bad
54,Where was the first battle with US involvement in the Korean War?,Suwon
55,On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?,Barbuda
56,In which decade was Arnold Schwarzenegger born?,1950s
57,Which musical featured the song Thank Heaven for Little Girls?,Gigi
58,The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?,Hong Kong
59,What breed of dog did Columbo own?,Basset hound
60,What was the first movie western called?,Kit Carson
61,Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?,Meryl Streep
62,Which Amendment to the Constitution brought in prohibition in 1920?,18th
