id,question,reference_answer,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,clusters,generation_errors
1,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis,John Dos Passos,Sinclair Lewis,Sinclair Lewis,Pearl S. Buck,Sinclair Lewis,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 2, 4], [3]]",
2,Where in England was Dame Judi Dench born?,York,Leeds,Yorkshire,Leeds,Yorkshire,Leeds,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 2, 4], [1, 3]]",
3,In which decade did Billboard magazine first publish and American hit chart?,30s,1950s To: 1950s,1940s,1940s,1950s,1940s,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 2, 4], [3]]",
4,From which country did Angola achieve independence in 1975?,Portugal,Angola achieved independence from Portugal in 1975. Portugal,Angola achieved independence from Portugal in 1975. Portugal,Portugal,Angola,Angola achieved independence from Portugal in 1975. Portugal,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 1, 4], [2], [3]]",
5,Which city does David Soul come from?,Chicago,Baltimore,Los Angeles,St. Louis,New Orleans,New Orleans,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1], [2], [3, 4]]",
6,Who won Super Bowl XX?,Chicago Bears,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,Minnesota Vikings,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 2, 3], [4]]",
7,Which was the first European country to abolish capital punishment?,Norway,Spain,United Kingdom,Spain,United Kingdom,France,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 2], [1, 3], [4]]",
8,In which country did he widespread use of ISDN begin in 1988?,Japan,United Kingdom,Norway,United Kingdom,United Kingdom,Japan,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 2, 3], [1], [4]]",
9,What is Bruce Willis' real first name?,Walter,John,David,David,david,david,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0], [1, 2, 3, 4]]",
10,Which William wrote the novel Lord Of The Flies?,Golding,William Golding,William Golding,William Golding,William Golding,William Golding,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
11,Which innovation for the car was developed by Prince Henry of Prussia in 1911?,Windshield wipers,windshield wipers,hydraulic clutch 1911,windshield wipers,carburetor,rearview mirror,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0, 2], [1], [3], [4]]",
12,How is musician William Lee Conley better known?,Big Bill Broonzy,Billy Joe Shaver,William Lee Stokes,Willie Jones,Billy Gibbons,Willie,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
13,How is Joan Molinsky better known?,Joan Rivers,Joan Molinsky is better known as Joan Rivers.,Joan Molinsky is better known as Joan Rivers.,Joan Molinsky is better known as Joan Rivers.,Joan Molinsky is better known as Joan Rivers.,Joan Molinsky is better known as Joan Rivers.,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
14,In which branch of the arts is Patricia Neary famous?,Ballet,visual arts,Theatre The Theatre branch of the arts is famous for Patricia Neary.,Literature,Visual arts,Visual Arts,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 3, 4], [1], [2]]",
15,Which country is Europe's largest silk producer?,Italy,China,China,China,China,China,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
16,The VS-300 was a type of what?,Helicopter,headphone,headphone,headphone,headphone,headphone,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
17,At which university did Joseph Goebbels become a doctor of philosophy?,Heidelberg,University of Berlin,University of Berlin,University of Berlin,Freiburg University,Freiburg University Goebbels Goebbels studied at Freiburg,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 1, 2], [3, 4]]",
18,Which prince is Queen Elizabeth II's youngest son?,Edward,Prince Andrew,Andrew,Andrew,"Prince Edward, Duke of Kent",Prince William,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1, 2], [3], [4]]",
19,When did the founder of Jehovah's Witnesses say the world would end?,1914,1975,1975,1975,"1975 The founder of Jehovah's Witnesses, Charles Taze",1975,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 2, 4], [3]]",
