id,question,reference_answer,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,clusters,error
1,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,William Faulkner,Sinclair Lewis,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 2, 4], [3]]",
2,Where in England was Dame Judi Dench born?,York,Yorkshire,Yorkshire,Yorkshire,Yorkshire,Yorkshire,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
3,In which decade did Billboard magazine first publish and American hit chart?,30s,1940s,1940s,1950s,1950s,1940s,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 1, 4], [2, 3]]",
4,From which country did Angola achieve independence in 1975?,Portugal,Angola,Angola,Angola,Angola,Angola,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
5,Which city does David Soul come from?,Chicago,Indianapolis,Baltimore,Pittsburgh,Baltimore,Detroit,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1, 3], [2], [4]]",
6,Who won Super Bowl XX?,Chicago Bears,Miami Dolphins,Dallas Cowboys,Miami Dolphins,The Dallas Cowboys,Bills,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 2], [1, 3], [4]]",
7,Which was the first European country to abolish capital punishment?,Norway,France,Spain,France,United Kingdom,Spain,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 2], [1, 4], [3]]",
8,In which country did he widespread use of ISDN begin in 1988?,Japan,Japan,Germany,Japan,Japan,Japan,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 2, 3, 4], [1]]",
9,What is Bruce Willis' real first name?,Walter,David,Willis,Willis,david,William,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 3], [1, 2], [4]]",
10,Which William wrote the novel Lord Of The Flies?,Golding,William Golding,William Golding,William Golding,William Golding,William Golding,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
